"","Name","Position","Age","Season","Transfer_fee","League_to"
"1","Luís Figo","Right Winger","27","2000-2001",60000000,"LaLiga"
"2","Hernán Crespo","Centre-Forward","25","2000-2001",56810000,"Serie A"
"3","Marc Overmars","Left Winger","27","2000-2001",40000000,"LaLiga"
"4","Gabriel Batistuta","Centre-Forward","31","2000-2001",36150000,"Serie A"
"5","Nicolas Anelka","Centre-Forward","21","2000-2001",34500000,"Ligue 1"
"6","Rio Ferdinand","Centre-Back","22","2000-2001",26000000,"Premier League"
"7","Flávio Conceicao","Central Midfield","26","2000-2001",25000000,"LaLiga"
"8","Savo Milosevic","Centre-Forward","26","2000-2001",25000000,"Serie A"
"9","David Trézéguet","Centre-Forward","22","2000-2001",23240000,"Serie A"
"10","Claudio López","Centre-Forward","25","2000-2001",23000000,"Serie A"
"11","Jimmy Floyd Hasselbaink","Centre-Forward","28","2000-2001",22500000,"Premier League"
"12","Gerard López","Central Midfield","21","2000-2001",21600000,"LaLiga"
"13","Lucas","Centre-Forward","21","2000-2001",21300000,"Ligue 1"
"14","Pablo Aimar","Attacking Midfield","21","2000-2001",21250000,"LaLiga"
"15","Wálter Samuel","Centre-Back","22","2000-2001",20800000,"Serie A"
"16","Shabani Nonda","Centre-Forward","23","2000-2001",20000000,"Ligue 1"
"17","Robbie Keane","Centre-Forward","19","2000-2001",19500000,"Serie A"
"18","José Mari","Centre-Forward","21","2000-2001",19000000,"Serie A"
"19","Jonathan Zebina","Centre-Back","21","2000-2001",18400000,"Serie A"
"20","Émerson","Defensive Midfield","24","2000-2001",18000000,"Serie A"
"21","Sergiy Rebrov","Second Striker","26","2000-2001",18000000,"Premier League"
"22","Angelo Peruzzi","Goalkeeper","30","2000-2001",17900000,"Serie A"
"23","Diego Tristán","Centre-Forward","24","2000-2001",17750000,"LaLiga"
"24","Sylvain Wiltord","Second Striker","26","2000-2001",17500000,"Premier League"
"25","Fernando Redondo","Defensive Midfield","31","2000-2001",17500000,"Serie A"
"26","Nuno Gomes","Centre-Forward","24","2000-2001",17000000,"Serie A"
"27","Sérgio Conceição","Right Winger","25","2000-2001",17000000,"Serie A"
"28","Alfonso","Centre-Forward","27","2000-2001",16500000,"LaLiga"
"29","Francisco Farinós","Defensive Midfield","22","2000-2001",16250000,"Serie A"
"30","Kakhaber Kaladze","Centre-Back","22","2000-2001",16000000,"Serie A"
"31","Francis Jeffers","Centre-Forward","20","2000-2001",15300000,"Premier League"
"32","Emmanuel Petit","Defensive Midfield","29","2000-2001",15000000,"LaLiga"
"33","Tomás Rosicky","Attacking Midfield","20","2000-2001",14500000,"1.Bundesliga"
"34","Catanha","Centre-Forward","28","2000-2001",14420000,"LaLiga"
"35","Juan Pablo Ángel","Centre-Forward","25","2000-2001",14400000,"Premier League"
"36","Claude Makélélé","Defensive Midfield","27","2000-2001",14000000,"LaLiga"
"37","Aldo Duscher","Defensive Midfield","21","2000-2001",13000000,"LaLiga"
"38","Ugo Ehiogu","Centre-Back","27","2000-2001",12200000,"Premier League"
"39","Jesper Grönkjaer","Left Winger","23","2000-2001",11850000,"Premier League"
"40","Fabien Barthez","Goalkeeper","29","2000-2001",11700000,"Premier League"
"41","Edmílson","Centre-Back","23","2000-2001",11000000,"Ligue 1"
"42","Stéphane Dalmat","Central Midfield","21","2000-2001",10750000,"Ligue 1"
"43","Laurén","Right-Back","23","2000-2001",10700000,"Premier League"
"44","Pedro Munitis","Second Striker","25","2000-2001",10500000,"LaLiga"
"45","Olivier Dacourt","Defensive Midfield","25","2000-2001",10500000,"Premier League"
"46","Carl Cort","Centre-Forward","22","2000-2001",10500000,"Premier League"
"47","Stéphane Porato","Goalkeeper","26","2000-2001",10500000,"Ligue 1"
"48","Robert Pirès","Left Midfield","26","2000-2001",9800000,"Premier League"
"49","Émerson","Defensive Midfield","28","2000-2001",9600000,"LaLiga"
"50","Claudio Husaín","Defensive Midfield","25","2000-2001",9300000,"Serie A"
"51","Craig Bellamy","Left Winger","21","2000-2001",9250000,"Premier League"
"52","Mark Viduka","Centre-Forward","24","2000-2001",9150000,"Premier League"
"53","Pauleta","Centre-Forward","27","2000-2001",9100000,"Ligue 1"
"54","Alpay Özalan","Centre-Back","27","2000-2001",9000000,"Premier League"
"55","Christian Ziege","Left Midfield","28","2000-2001",9000000,"Premier League"
"56","Nick Barmby","Left Midfield","26","2000-2001",9000000,"Premier League"
"57","Marc-Vivien Foé","Central Midfield","25","2000-2001",9000000,"Ligue 1"
"58","Lúcio","Centre-Back","22","2000-2001",8750000,"1.Bundesliga"
"59","Christian Karembeu","Defensive Midfield","29","2000-2001",8750000,"Premier League"
"60","John Carew","Centre-Forward","20","2000-2001",8500000,"LaLiga"
"61","Mario Stanic","Right Winger","28","2000-2001",8400000,"Premier League"
